"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"318-ROT","ROT","ROT","318","gate","jet_transport","L-GAV","false","","","","",""
"733-ROT","ROT","ROT","733","gate","jet_transport","L-GAV","false","","","","",""
"73G-ROT","ROT","ROT","73G","gate","jet_transport","L-GAV","false","","","","",""
"AT5-ROT","ROT","ROT","AT5","gate","jet_transport","L-GAV","false","","","","",""
"AT7-ROT","ROT","ROT","AT7","gate","jet_transport","L-GAV","false","","","","",""
"320-ROT","ROT","ROT","320","gate","jet_transport","L-GAV","false","","","","",""
"EM2-ROT","ROT","ROT","EM2","gate","jet_transport","L-GAV","false","","","","",""
"32S-ROT","ROT","ROT","32S","gate","jet_transport","L-GAV","false","","","","",""
"319-ROT","ROT","ROT","319","gate","jet_transport","L-GAV","false","","","","",""
"73H-ROT","ROT","ROT","73H","gate","jet_transport","L-GAV","false","","","","",""
"310-ROT","ROT","ROT","310","gate","jet_transport","L-GAV","false","","","","",""
"E70-ROT","ROT","ROT","E70","gate","jet_transport","L-GAV","false","","","","",""
"DH4-ROT","ROT","ROT","DH4","gate","jet_transport","L-GAV","false","","","","",""
"M82-SAS","SAS","SAS","M82","gate","jet_transport","L-GAV","false","","","","",""
"321-SAS","SAS","SAS","321","gate","jet_transport","L-GAV","false","","","","",""
"M81-SAS","SAS","SAS","M81","gate","jet_transport","L-GAV","false","","","","",""
"CR9-SAS","SAS","SAS","CR9","gate","jet_transport","L-GAV","false","","","","",""
"319-SAS","SAS","SAS","319","gate","jet_transport","L-GAV","false","","","","",""
"735-SAS","SAS","SAS","735","gate","jet_transport","L-GAV","false","","","","",""
"736-SAS","SAS","SAS","736","gate","jet_transport","L-GAV","false","","","","",""
"735-MSR","MSR","MSR","735","gate","jet_transport","L-GAV","false","","","","",""
"333-DAT","DAT","DAT","333","gate","jet_transport","L-GAV","false","","","","",""
"738-MSR","MSR","MSR","738","gate","jet_transport","L-GAV","false","","","","",""
"330-MSR","MSR","MSR","330","gate","jet_transport","L-GAV","false","","","","",""
"333-GEC","GEC","GEC","333","gate","jet_transport","L-GAV","false","","","","",""
"343-GEC","GEC","GEC","343","gate","jet_transport","L-GAV","false","","","","",""
"321-THY","THY","THY","321","gate","jet_transport","L-GAV","false","","","","",""
"333-SQC","SQC","SQC","333","gate","jet_transport","L-GAV","false","","","","",""
"320-MSR","MSR","MSR","320","gate","jet_transport","L-GAV","false","","","","",""
"E70-MSR","MSR","MSR","E70","gate","jet_transport","L-GAV","false","","","","",""
"342-SAA","SAA","SAA","342","gate","jet_transport","L-GAV","false","","","","",""
"320-TAP","TAP","TAP","320","gate","jet_transport","L-GAV","false","","","","",""
"763-UAL","UAL","UAL","763","gate","jet_transport","L-GAV","false","","","","",""
"320-JKK","JKK","JKK","320","gate","jet_transport","L-GAV","false","","","","",""
"M87-JKK","JKK","JKK","M87","gate","jet_transport","L-GAV","false","","","","",""
"738-THY","THY","THY","738","gate","jet_transport","L-GAV","false","","","","",""
"734-THY","THY","THY","734","gate","jet_transport","L-GAV","false","","","","",""
"319-THY","THY","THY","319","gate","jet_transport","L-GAV","false","","","","",""
"320-THY","THY","THY","320","gate","jet_transport","L-GAV","false","","","","",""
"321-BMA","BMA","BMA","321","gate","jet_transport","L-GAV","false","","","","",""
"320-ANZ","ANZ","ANZ","320","gate","jet_transport","L-GAV","false","","","","",""
"319-DAT","DAT","DAT","319","gate","jet_transport","L-GAV","false","","","","",""
"319-BMA","BMA","BMA","319","gate","jet_transport","L-GAV","false","","","","",""
"320-BMA","BMA","BMA","320","gate","jet_transport","L-GAV","false","","","","",""
"73W-THY","THY","THY","73W","gate","jet_transport","L-GAV","false","","","","",""
"738-COA","COA","COA","738","gate","jet_transport","L-GAV","false","","","","",""
"767-ANA","ANA","ANA","767","gate","jet_transport","L-GAV","false","","","","",""
"320-ANA","ANA","ANA","320","gate","jet_transport","L-GAV","false","","","","",""
"734-USA","USA","USA","734","gate","jet_transport","L-GAV","false","","","","",""
"733-USA","USA","USA","733","gate","jet_transport","L-GAV","false","","","","",""
"320-UAL","UAL","UAL","320","gate","jet_transport","L-GAV","false","","","","",""
"319-UAL","UAL","UAL","319","gate","jet_transport","L-GAV","false","","","","",""
"735-COA","COA","COA","735","gate","jet_transport","L-GAV","false","","","","",""
"319-USA","USA","USA","319","gate","jet_transport","L-GAV","false","","","","",""
"73W-SAS","SAS","SAS","73W","gate","jet_transport","L-GAV","false","","","","",""
"73H-SAS","SAS","SAS","73H","gate","jet_transport","L-GAV","false","","","","",""
"73G-SAS","SAS","SAS","73G","gate","jet_transport","L-GAV","false","","","","",""
"320-AEE","AEE","AEE","320","gate","jet_transport","L-GAV","false","","","","",""
"319-AEE","AEE","AEE","319","gate","jet_transport","L-GAV","false","","","","",""
"321-JKK","JKK","JKK","321","gate","jet_transport","L-GAV","false","","","","",""
"321-MSR","MSR","MSR","321","gate","jet_transport","L-GAV","false","","","","",""
"735-GEC","GEC","GEC","735","gate","jet_transport","L-GAV","false","","","","",""
"733-GEC","GEC","GEC","733","gate","jet_transport","L-GAV","false","","","","",""
"330-THY","THY","THY","330","gate","jet_transport","L-GAV","false","","","","",""
"M83-JKK","JKK","JKK","M83","gate","jet_transport","L-GAV","false","","","","",""
"738-SAS","SAS","SAS","738","gate","jet_transport","L-GAV","false","","","","",""
"734-SAS","SAS","SAS","734","gate","jet_transport","L-GAV","false","","","","",""
"332-BMA","BMA","BMA","332","gate","jet_transport","L-GAV","false","","","","",""
"333-OZR","OZR","OZR","333","gate","jet_transport","L-GAV","false","","","","",""
"321-GEC","GEC","GEC","321","gate","jet_transport","L-GAV","false","","","","",""
"320-GEC","GEC","GEC","320","gate","jet_transport","L-GAV","false","","","","",""
"319-AUA","AUA","AUA","319","gate","jet_transport","L-GAV","false","","","","",""
"320-AUA","AUA","AUA","320","gate","jet_transport","L-GAV","false","","","","",""
"319-GEC","GEC","GEC","319","gate","jet_transport","L-GAV","false","","","","",""
"717-BLF","BLF","BLF","717","gate","jet_transport","L-GAV","false","","","","",""
"AR8-BLF","BLF","BLF","AR8","gate","jet_transport","L-GAV","false","","","","",""
"764-COA","COA","COA","764","gate","jet_transport","L-GAV","false","","","","",""
"319-TAP","TAP","TAP","319","gate","jet_transport","L-GAV","false","","","","",""
"321-TAP","TAP","TAP","321","gate","jet_transport","L-GAV","false","","","","",""
"CR2-ADR","ADR","ADR","CR2","gate","jet_transport","L-GAV","false","","","","",""
"752-COA","COA","COA","752","gate","jet_transport","L-GAV","false","","","","",""
"752-USA","USA","USA","752","gate","jet_transport","L-GAV","false","","","","",""
"320-CTN","CTN","CTN","320","gate","jet_transport","L-GAV","false","","","","",""
"772-SQC","SQC","SQC","772","gate","jet_transport","L-GAV","false","","","","",""
"319-CTN","CTN","CTN","319","gate","jet_transport","L-GAV","false","","","","",""
"E75-LOT","LOT","LOT","E75","gate","jet_transport","L-GAV","false","","","","",""
"320-SWR","SWR","SWR","320","gate","jet_transport","L-GAV","false","","","","",""
"321-SWR","SWR","SWR","321","gate","jet_transport","L-GAV","false","","","","",""
"753-COA","COA","COA","753","gate","jet_transport","L-GAV","false","","","","",""
"320-USA","USA","USA","320","gate","jet_transport","L-GAV","false","","","","",""
"739-COA","COA","COA","739","gate","jet_transport","L-GAV","false","","","","",""
"319-ACA","ACA","ACA","319","gate","jet_transport","L-GAV","false","","","","",""
"321-AUA","AUA","AUA","321","gate","jet_transport","L-GAV","false","","","","",""
"73G-COA","COA","COA","73G","gate","jet_transport","L-GAV","false","","","","",""
"320-ACA","ACA","ACA","320","gate","jet_transport","L-GAV","false","","","","",""
"763-ANZ","ANZ","ANZ","763","gate","jet_transport","L-GAV","false","","","","",""
"320-TAM","TAM","TAM","320","gate","jet_transport","L-GAV","false","","","","",""
"319-TAM","TAM","TAM","319","gate","jet_transport","L-GAV","false","","","","",""
"73G-AUA","AUA","AUA","73G","gate","jet_transport","L-GAV","false","","","","",""
"320-LAP","LAP","LAP","320","gate","jet_transport","L-GAV","false","","","","",""
"773-THA","THA","THA","773","gate","jet_transport","L-GAV","false","","","","",""
"321-AEE","AEE","AEE","321","gate","jet_transport","L-GAV","false","","","","",""
"734-DAT","DAT","DAT","734","gate","jet_transport","L-GAV","false","","","","",""
"J41-AEE","AEE","AEE","J41","gate","jet_transport","L-GAV","false","","","","",""
"E70-LOT","LOT","LOT","E70","gate","jet_transport","L-GAV","false","","","","",""
"763-ACA","ACA","ACA","763","gate","jet_transport","L-GAV","false","","","","",""
"330-CCA","CCA","CCA","330","gate","jet_transport","L-GAV","false","","","","",""
"762-COA","COA","COA","762","gate","jet_transport","L-GAV","false","","","","",""
"767-USA","USA","USA","767","gate","jet_transport","L-GAV","false","","","","",""
"E95-LOT","LOT","LOT","E95","gate","jet_transport","L-GAV","false","","","","",""
"E90-USA","USA","USA","E90","gate","jet_transport","L-GAV","false","","","","",""
"777-THA","THA","THA","777","gate","jet_transport","L-GAV","false","","","","",""
"772-ANZ","ANZ","ANZ","772","gate","jet_transport","L-GAV","false","","","","",""
"744-ANZ","ANZ","ANZ","744","gate","jet_transport","L-GAV","false","","","","",""
"733-ANZ","ANZ","ANZ","733","gate","jet_transport","L-GAV","false","","","","",""
"77W-SQC","SQC","SQC","77W","gate","jet_transport","L-GAV","false","","","","",""
"777-UAL","UAL","UAL","777","gate","jet_transport","L-GAV","false","","","","",""
"321-USA","USA","USA","321","gate","jet_transport","L-GAV","false","","","","",""
"752-UAL","UAL","UAL","752","gate","jet_transport","L-GAV","false","","","","",""
"773-SQC","SQC","SQC","773","gate","jet_transport","L-GAV","false","","","","",""
"319-CCA","CCA","CCA","319","gate","jet_transport","L-GAV","false","","","","",""
"772-CCA","CCA","CCA","772","gate","jet_transport","L-GAV","false","","","","",""
"747-THA","THA","THA","747","gate","jet_transport","L-GAV","false","","","","",""
"738-CCA","CCA","CCA","738","gate","jet_transport","L-GAV","false","","","","",""
"333-THA","THA","THA","333","gate","jet_transport","L-GAV","false","","","","",""
"772-THA","THA","THA","772","gate","jet_transport","L-GAV","false","","","","",""
"AB6-THA","THA","THA","AB6","gate","jet_transport","L-GAV","false","","","","",""
"773-MSR","MSR","MSR","773","gate","jet_transport","L-GAV","false","","","","",""
"330-THA","THA","THA","330","gate","jet_transport","L-GAV","false","","","","",""
"744-THA","THA","THA","744","gate","jet_transport","L-GAV","false","","","","",""
"343-SAS","SAS","SAS","343","gate","jet_transport","L-GAV","false","","","","",""
"74R-THA","THA","THA","74R","gate","jet_transport","L-GAV","false","","","","",""
"744-GEC","GEC","GEC","744","gate","jet_transport","L-GAV","false","","","","",""
"734-THA","THA","THA","734","gate","jet_transport","L-GAV","false","","","","",""
"343-THY","THY","THY","343","gate","jet_transport","L-GAV","false","","","","",""
"345-THA","THA","THA","345","gate","jet_transport","L-GAV","false","","","","",""
"767-OZR","OZR","OZR","767","gate","jet_transport","L-GAV","false","","","","",""
"346-THA","THA","THA","346","gate","jet_transport","L-GAV","false","","","","",""
"763-ANA","ANA","ANA","763","gate","jet_transport","L-GAV","false","","","","",""
"744-UAL","UAL","UAL","744","gate","jet_transport","L-GAV","false","","","","",""
"772-AUA","AUA","AUA","772","gate","jet_transport","L-GAV","false","","","","",""
"343-SWR","SWR","SWR","343","gate","jet_transport","L-GAV","false","","","","",""
"733-CCA","CCA","CCA","733","gate","jet_transport","L-GAV","false","","","","",""
"733-DAT","DAT","DAT","733","gate","jet_transport","L-GAV","false","","","","",""
"319-SWR","SWR","SWR","319","gate","jet_transport","L-GAV","false","","","","",""
"320-ADR","ADR","ADR","320","gate","jet_transport","L-GAV","false","","","","",""
"CR9-ADR","ADR","ADR","CR9","gate","jet_transport","L-GAV","false","","","","",""
"M82-JKK","JKK","JKK","M82","gate","jet_transport","L-GAV","false","","","","",""
"332-USA","USA","USA","332","gate","jet_transport","L-GAV","false","","","","",""
"738-AUA","AUA","AUA","738","gate","jet_transport","L-GAV","false","","","","",""
"320-OZR","OZR","OZR","320","gate","jet_transport","L-GAV","false","","","","",""
"340-MSR","MSR","MSR","340","gate","jet_transport","L-GAV","false","","","","",""
"321-CCA","CCA","CCA","321","gate","jet_transport","L-GAV","false","","","","",""
"757-CCA","CCA","CCA","757","gate","jet_transport","L-GAV","false","","","","",""
"321-OZR","OZR","OZR","321","gate","jet_transport","L-GAV","false","","","","",""
"737-CCA","CCA","CCA","737","gate","jet_transport","L-GAV","false","","","","",""
"767-CCA","CCA","CCA","767","gate","jet_transport","L-GAV","false","","","","",""
"333-CCA","CCA","CCA","333","gate","jet_transport","L-GAV","false","","","","",""
"388-GEC","GEC","GEC","388","gate","jet_transport","L-GAV","false","","","","",""
"773-CCA","CCA","CCA","773","gate","jet_transport","L-GAV","false","","","","",""
"777-CCA","CCA","CCA","777","gate","jet_transport","L-GAV","false","","","","",""
"320-CCA","CCA","CCA","320","gate","jet_transport","L-GAV","false","","","","",""
"77W-THY","THY","THY","77W","gate","jet_transport","L-GAV","false","","","","",""
"747-CCA","CCA","CCA","747","gate","jet_transport","L-GAV","false","","","","",""
"744-CCA","CCA","CCA","744","gate","jet_transport","L-GAV","false","","","","",""
"346-GEC","GEC","GEC","346","gate","jet_transport","L-GAV","false","","","","",""
"777-COA","COA","COA","777","gate","jet_transport","L-GAV","false","","","","",""
"340-CCA","CCA","CCA","340","gate","jet_transport","L-GAV","false","","","","",""
"763-CCA","CCA","CCA","763","gate","jet_transport","L-GAV","false","","","","",""
"777-ANA","ANA","ANA","777","gate","jet_transport","L-GAV","false","","","","",""
"77W-ACA","ACA","ACA","77W","gate","jet_transport","L-GAV","false","","","","",""
"763-AUA","AUA","AUA","763","gate","jet_transport","L-GAV","false","","","","",""
"332-TAP","TAP","TAP","332","gate","jet_transport","L-GAV","false","","","","",""
"343-TAP","TAP","TAP","343","gate","jet_transport","L-GAV","false","","","","",""
"763-TAM","TAM","TAM","763","gate","jet_transport","L-GAV","false","","","","",""
"M87-SAS","SAS","SAS","M87","gate","jet_transport","L-GAV","false","","","","",""
"AR1-DAT","DAT","DAT","AR1","gate","jet_transport","L-GAV","false","","","","",""
"AR8-DAT","DAT","DAT","AR8","gate","jet_transport","L-GAV","false","","","","",""
"738-SAA","SAA","SAA","738","gate","jet_transport","L-GAV","false","","","","",""
"E75-ACA","ACA","ACA","E75","gate","jet_transport","L-GAV","false","","","","",""
"DH4-CTN","CTN","CTN","DH4","gate","jet_transport","L-GAV","false","","","","",""
"320-DAT","DAT","DAT","320","gate","jet_transport","L-GAV","false","","","","",""
"333-ACA","ACA","ACA","333","gate","jet_transport","L-GAV","false","","","","",""
"736-AUA","AUA","AUA","736","gate","jet_transport","L-GAV","false","","","","",""
"735-LOT","LOT","LOT","735","gate","jet_transport","L-GAV","false","","","","",""
"330-TAM","TAM","TAM","330","gate","jet_transport","L-GAV","false","","","","",""
"333-MSR","MSR","MSR","333","gate","jet_transport","L-GAV","false","","","","",""
"777-MSR","MSR","MSR","777","gate","jet_transport","L-GAV","false","","","","",""
"734-LOT","LOT","LOT","734","gate","jet_transport","L-GAV","false","","","","",""
"E90-ACA","ACA","ACA","E90","gate","jet_transport","L-GAV","false","","","","",""
"321-ACA","ACA","ACA","321","gate","jet_transport","L-GAV","false","","","","",""
"319-SAA","SAA","SAA","319","gate","jet_transport","L-GAV","false","","","","",""
