"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"737-DAT","DAT","DAT","737","gate","jet_transport","L-GAV","false","","","","",""
"DH3-ACA","ACA","ACA","DH3","gate","jet_transport","L-GAV","false","","","","",""
"CRA-ACA","ACA","ACA","CRA","gate","jet_transport","L-GAV","false","","","","",""
"100-GEC","GEC","GEC","100","gate","jet_transport","L-GAV","false","","","","",""
"E90-BMA","BMA","BMA","E90","gate","jet_transport","L-GAV","false","","","","",""
"AT7-GEC","GEC","GEC","AT7","gate","jet_transport","L-GAV","false","","","","",""
"717-HAL","HAL","HAL","717","gate","jet_transport","L-GAV","false","","","","",""
"CRJ-ANA","ANA","ANA","CRJ","gate","jet_transport","L-GAV","false","","","","",""
"DH8-MKU","MKU","MKU","DH8","gate","jet_transport","L-GAV","false","","","","",""
"738-CMP","CMP","CMP","738","gate","jet_transport","L-GAV","false","","","","",""
"73G-CMP","CMP","CMP","73G","gate","jet_transport","L-GAV","false","","","","",""
"744-VIR","VIR","VIR","744","gate","jet_transport","L-GAV","false","","","","",""
"333-VIR","VIR","VIR","333","gate","jet_transport","L-GAV","false","","","","",""
"343-VIR","VIR","VIR","343","gate","jet_transport","L-GAV","false","","","","",""
"346-VIR","VIR","VIR","346","gate","jet_transport","L-GAV","false","","","","",""
"CRJ-TAO","TAO","TAO","CRJ","gate","jet_transport","L-GAV","false","","","","",""
"DH8-ANA","ANA","ANA","DH8","gate","jet_transport","L-GAV","false","","","","",""
"77W-EVA","EVA","EVA","77W","gate","jet_transport","L-GAV","false","","","","",""
"744-EVA","EVA","EVA","744","gate","jet_transport","L-GAV","false","","","","",""
"DH4-ACA","ACA","ACA","DH4","gate","jet_transport","L-GAV","false","","","","",""
"319-AZA","AZA","AZA","319","gate","jet_transport","L-GAV","false","","","","",""
"32S-AZA","AZA","AZA","32S","gate","jet_transport","L-GAV","false","","","","",""
"320-AZA","AZA","AZA","320","gate","jet_transport","L-GAV","false","","","","",""
"321-AZA","AZA","AZA","321","gate","jet_transport","L-GAV","false","","","","",""
"M82-AZA","AZA","AZA","M82","gate","jet_transport","L-GAV","false","","","","",""
"M80-AZA","AZA","AZA","M80","gate","jet_transport","L-GAV","false","","","","",""
"330-AZA","AZA","AZA","330","gate","jet_transport","L-GAV","false","","","","",""
"332-AZA","AZA","AZA","332","gate","jet_transport","L-GAV","false","","","","",""
"772-AZA","AZA","AZA","772","gate","jet_transport","L-GAV","false","","","","",""
"764-AZA","AZA","AZA","764","gate","jet_transport","L-GAV","false","","","","",""
"S20-AZA","AZA","AZA","S20","gate","jet_transport","L-GAV","false","","","","",""
"E70-AZA","AZA","AZA","E70","gate","jet_transport","L-GAV","false","","","","",""
"DH4-AZA","AZA","AZA","DH4","gate","jet_transport","L-GAV","false","","","","",""
"ERD-AAL","AAL","AAL","ERD","gate","jet_transport","L-GAV","false","","","","",""
"ER4-AAL","AAL","AAL","ER4","gate","jet_transport","L-GAV","false","","","","",""
"ER3-AAL","AAL","AAL","ER3","gate","jet_transport","L-GAV","false","","","","",""
"CR7-AAL","AAL","AAL","CR7","gate","jet_transport","L-GAV","false","","","","",""
"M83-AAL","AAL","AAL","M83","gate","jet_transport","L-GAV","false","","","","",""
"M80-AAL","AAL","AAL","M80","gate","jet_transport","L-GAV","false","","","","",""
"757-AAL","AAL","AAL","757","gate","jet_transport","L-GAV","false","","","","",""
"738-AAL","AAL","AAL","738","gate","jet_transport","L-GAV","false","","","","",""
"AT7-AAL","AAL","AAL","AT7","gate","jet_transport","L-GAV","false","","","","",""
"763-AAL","AAL","AAL","763","gate","jet_transport","L-GAV","false","","","","",""
"777-AAL","AAL","AAL","777","gate","jet_transport","L-GAV","false","","","","",""
"762-AAL","AAL","AAL","762","gate","jet_transport","L-GAV","false","","","","",""
"773-AFR","AFR","AFR","773","gate","jet_transport","L-GAV","false","","","","",""
"319-AFR","AFR","AFR","319","gate","jet_transport","L-GAV","false","","","","",""
"32S-AFR","AFR","AFR","32S","gate","jet_transport","L-GAV","false","","","","",""
